YEAR,MONTH,STATEFIP,WTFINL,EARNWEEK2,AGE,SEX,OCC,UHRSWORKT,EDUC
2020,3,54,,750.0,37,1,5610,40,73
2020,3,32,,1250.0,52,1,4020,80,73
2020,3,10,,1058.0,55,2,5740,40,111
2020,3,8,,1600.0,50,1,3258,44,123
2020,3,34,,600.0,39,2,4920,40,91
2020,3,17,,560.0,58,2,8100,40,81
2020,3,38,,1540.0,44,1,440,55,111
2020,3,6,,456.0,22,1,9620,35,20
2020,3,26,,2060.0,34,2,4850,45,92
2020,3,53,,1116.0,28,1,2320,50,111
2020,3,49,,162.0,19,2,2640,18,81
2020,3,45,,482.0,69,2,4760,40,40
2020,3,54,,200.0,24,1,4622,20,73
2020,3,31,,136.0,65,2,2861,8,73
2020,3,33,,2020.0,36,1,440,40,123
2020,3,10,,1390.0,47,1,7700,65,111
2020,3,1,,2885.0,35,1,52,40,123
2020,3,5,,1020.0,31,1,2320,40,123
2020,3,6,,442.0,39,2,4760,40,92
2020,3,41,,1540.0,64,2,10,50,123
2020,3,18,,362.0,20,2,2632,24,81
2020,3,6,,420.0,37,2,4600,35,73
2020,3,37,,840.0,53,1,7350,40,111
2020,3,33,,840.0,51,2,3310,997,92
2020,3,12,,484.0,37,1,4040,40,92
2020,3,47,,770.0,28,2,630,40,111
2020,3,30,,420.0,67,1,4750,28,81
2020,3,29,,880.0,25,1,7410,40,91
2020,3,6,,1600.0,26,2,3150,40,123
2020,3,4,,800.0,39,1,9600,40,73
2020,3,37,,600.0,22,1,3870,40,92
2020,3,12,,224.0,64,2,5400,997,81
2020,3,6,,928.0,54,1,5250,50,73
2020,3,42,,116.0,18,1,2350,3,73
2020,3,36,,2000.0,53,1,230,40,123
2020,3,53,,2220.0,33,2,2310,43,123
2020,3,6,,950.0,33,2,5120,40,111
2020,3,37,,2100.0,64,1,9142,40,73
2020,3,53,,240.0,62,2,5120,20,111
2020,3,2,,346.0,71,2,3647,40,73
2020,3,40,,596.0,48,1,7750,40,73
2020,3,47,,500.0,22,1,9620,40,73
2020,3,24,,1260.0,33,1,3802,41,81
2020,3,46,,1094.0,64,1,7330,997,81
